Campaign,Ad Group,Keyword,Match Type,Volume,Final URL
mb | DA | Search | Høreklinik Valby,Ørevoks Fjernelse | Valby,"""fjernelse af ørevoks""",Phrase,1900,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørevoks Fjernelse | Valby,"""ørevoks""",Phrase,720,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørevoks Fjernelse | Valby,"""ørevoks rens""",Phrase,70,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørevoks Fjernelse | Valby,[rens øre for ørevoks],Exact,70,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørevoks Fjernelse | Valby,[rense øre for ørevoks],Exact,70,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høretest | Valby,"""høretest""",Phrase,590,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høretest | Valby,"""gratis høretest""",Phrase,140,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høretest | Valby,"""høre test""",Phrase,50,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høretest | Valby,"""bestil høretest""",Phrase,10,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høretest | Valby,"""høretjek""",Phrase,10,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høreapparat | Valby,"""nyt høreapparat""",Phrase,40,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Høreapparat | Valby,[vedligeholdelse af høreapparater],Exact,10,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørepropper | Valby,"""speciallavede ørepropper""",Phrase,40,https://heleneshøreklinik.dk/
mb | DA | Search | Høreklinik Valby,Ørepropper | Valby,"""special ørepropper""",Phrase,10,https://heleneshøreklinik.dk/
